price,address,bedrooms,bathrooms,parking space,land size,property type1property type2
"$586,400* PREMIUM TURNKEY Caulfield 20","Address available on request, Mambourin",4,2,2,350,House
"$762,330","Lot 2004 Rangeland Street, Mambourin",4,2,2,412,House
"$685,260","Lot 1801 Shrubs Road, Mambourin",4,2,2,256,House
"$633,600*-TITLED & PREMIUM TURNKEY 19sq HOME","Lot 1821, 48 Shillings Road (Windermere), Mambourin",4,2,2,377,House
"$274,000","Lot 2175, Drum Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$304,000 - $330,000","12 Reefton Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$661,968 – 100% fixed price guaranteed!","Lot 2140A Morant Street (Mambourin), Mambourin",4,2,2,350,House
N/A,"25  Heidelberg Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$400,000 - $420,000","28 Twain Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$709,683","Lot 2472 Prescott Road, Mambourin",4,2,2,400,House
"$789,077","Lot 2467 Prescott Road, Mambourin",4,2,2,512,House
"$792,622","Lot 2468 Prescott Road, Mambourin",4,2,2,512,House
"$835,727","Lot 2469 Prescott Road, Mambourin",4,2,2,400,House
"$599,000 - $655,000","2 Webb Street, Mambourin",4,3,2,295,House
"$431,000","Lot 2455, Gardenvale Avenue, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"BRAND NEW HOME| $690,000-$720,000","80 Generation Crescent, Mambourin",4,2,2,388,House
"$340,000 - $370,000","6 Frew Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$702,000 - $722,000","Lot 1705  Baxter Way, Mambourin",4,2,2,394,House
"$406,000","Lot 27112, Bilston Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$582,700 FHB*-PREMIUM TURNKEY 18sq-HOME","Address available on request, Mambourin",4,2,2,322,House
"$570,500 FHB*-PREMIUM TURNKEY Kew 17","Address available on request, Mambourin",3,2,2,322,House
"$360,000-$390,000","6 Tolkien Drive, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"16 Portrait Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$464,800*-NEAR TITLED & PREMIUM TURNKEY Melba 15","Address available on request, Mambourin",3,2,1,212,House
"$700,000 - $720,000","Lot 2169  Black Forest Place, Mambourin",4,2,2,350,House
"$353,000","Lot 27049, Prescott Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"6 Reefton Street, Mambourin",4,2,2,350,House
"$360,000-$396,000","27 Gardenvale Avenue, Mambourin",N/A,N/A,N/A,N/A,Residential Land
$600000- $630000,"10 Thrums Road, Mambourin",4,2,2,290,House
N/A,"Address available on request, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$657,000 - $667,000","2171  Drum Way, Mambourin",3,2,1,325,House
"$300,000 - $310,000","LOT 2133 Winfred Drive, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$430,000 to $450,000","14 Glover Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$327,000","Lot 2185, Winfred Drive, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$320,000 - $340,000","12 Reefton Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"NEAR TITLED $578,900*-PREMIUM TURNKEY Kew 19.24","Address available on request, Mambourin",4,2,2,350,House
N/A,"10 Trim St, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$601,000- $621,000","Lot 2171  Drum Street, Mambourin",4,2,2,325,House
"$389,000 - $425,000","3 Perceval Place, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$360,000-$400,000","13 Gardenvale Avenue, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$370,000 - $390,000","44 Pankina Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"32 Gardenvale Avenue, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"39 Heidelberg Street, Mambourin",4,2,2,631,House
"$424,000","Address available on request, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$545,000-$565,000","10 Meredith Street, Mambourin",3,2,1,N/A,House
"$899,000","Lot 2468 Prescott Road, Mambourin",4,2,2,512,House
"$305,000","10 Palmdale Crescent, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$299,000 - $304,000","10 Reefton Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$906,140","2472 Prescott Road, Mambourin",4,2,2,N/A,House
"$951,790","2469 Prescott Road, Mambourin",4,2,2,N/A,House
N/A,"LOT 2021 Mintbush Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$325,000","Lot 2179, 9 Drum Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$345,000 offers invited","5 Produce Drive...., Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"1925 Shillings Road, Mambourin",3,2,2,16,House
"$599,000 - $655,000","4 Corandirk Street, Mambourin",4,2,2,N/A,House
"$390,000 - $410,000","11 Song Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$443,000","Lot 2464, Prescott Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$737,836","2445 Kireep Street, Mambourin",5,2,2,N/A,House
"$580000 To $620,000","77 Barrabool Boulevard, Mambourin",3,2,2,396,House
"$439,950","2331 Sustain Street, Mambourin",3,2,2,14.45,Townhouse
"$507,450","36 Tolkien Drive, Mambourin",3,2,1,212,House
N/A,"5 Masters Crescent, Mambourin",4,2,2,448,House
"$399,950","2329 Sustain Street, Mambourin",2,1,1,10.84,Townhouse
N/A,"14 Plane Avenue, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$825,000-$850,000 - Display Home with 7% Return!","Address available on request, Mambourin",4,2,2,448,House
N/A,"436 Black Forest Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"66 Palmdale Crescent, Mambourin",3,2,2,263,House
"$611,963","2452 Gardenvale Avenue, Mambourin",3,2,2,N/A,House
"$650,000","31 Callaway Street, Mambourin",5,3,2,400,House
N/A,"14 Surround Drive, Mambourin",6,3,2,448,House
"$214,500","36 Tolkien Drive, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$638,790","2177 Drum Street, Mambourin",4,2,2,N/A,House
"$373,000","Address available on request, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$650,000 to $ 700,000 Welcome Offer","45 Ruthven Way, Mambourin",4,2,2,544,House
"New price $790,000 to $810,000","10 Masters Crescent, Mambourin",4,2,2,448,House
"$950,000","5 Student Court, Mambourin",4,2,2,621,House
N/A,"Address available on request, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"Premium Creek Facing: $399,000 - $439,000","25 Callaway Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$779,981","2468 Gardenvale Avenue, Mambourin",4,2,2,N/A,House
"$393,000","Lot 1710, Baxter St, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$610,000-Contact For Private Inspection","33 Plane Avenue, Mambourin",4,2,2,N/A,House
"$830,000-$850,000 - Display Home with 7% Return!","Address available on request, Mambourin",4,2,2,578,House
"$329,000 to $339,000","10 Baxter Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$417,500","Lot 1845 Palette Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"1818/ 4 Reefton Street, Mambourin",4,2,2,350,House
"$356,000","2183 Winfred Drive, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"12 Merula Drive, Mambourin",4,2,2,462,House
"$640,000 - $660,000","71  Callaway Street, Mambourin",4,2,2,N/A,House
"$320,000-$340,000","6 Meredith Street Mambourin, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"Lot 2154 Nadeen Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$587,230","Lot 1968, Lucknow Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"3 Webb Street, Mambourin",4,2,2,457,House
"$300,000","Satori Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$549,080","Lot 2173 Drum Street, Mambourin",4,2,1,246,House
"$274,000","Lot 2175, 9 Drum Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$355,000 to $365,000","28 Camfield crescent,, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"Lot 320 Masters Crescent, Mambourin",4,2,2,N/A,House
N/A,"5. Masters Crescent, Mambourin",4,2,2,N/A,House
N/A,"17 Copal Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"Address available on request, Mambourin",3,2,2,262,House
"$430,000","38 Camfield Crescent, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$700,000 - $770,000","4  Masters Crescent, Mambourin",4,2,2,448,House
"$745,000 - $815,000","6 Masters Crescent, Mambourin",4,2,2,448,House
"$627,400","Lot 2103, 5 Cotswold Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$670,750","Lot 2143, 6 Drum Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"3 Bessie Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"Lot, 2165 Black Forest Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"5 Mandevilla Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$620,000 - $660,000","23 Helder Drive, Mambourin",4,2,2,497,House
"$308,000","72 (Lot1727) Jarlath Drive, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$345,000","Lot 1727, 1727 Windermere black forest Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"5 Perceval Place, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$370,000-$400,000","46 Pankina Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$370,000-$410,000","99 (Lot202) Callaway Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$645,000- $675,000","8 Ellimatta Road, Mambourin",4,2,2,350,House
"$267,000","Lot 1982 Texel Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
$390k - $399k,"Lot 1706 Shillings Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$599,900 - $644,900","Lot 1008, 21 Plane Avenue, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$440,000 to $460,000","4 Glover Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"Lot 1847 Palette Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"2 Perceval Place, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$1,160,000","325/8 Yang Road, Mambourin",4,2,N/A,507,House
"$986,500","324/6 Yang Road, Mambourin",4,2,2,512,House
"$400,000 - $440,000","53 Pankina Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
From Mid 500K,"Address available on request, Mambourin",3,2,2,N/A,House
"Land for Sale $323,000","1707 Baxter street, Mambourin",4,2,N/A,336,House
$298000-$318000,"Lot 1544, 20 Thrums Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"2 Shillings Road, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$400,000 - 420,000","24 Surround Drive, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$400,000 - $440,000","49 CALLAWAY STREET, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$801,700","1289 Orthello Way, Mambourin",5,3,2,"2,229.67",Townhouse
"$736,700","1284 Orthello Way, Mambourin",5,3,2,"2,229.67",Townhouse
"$737,100","1277 Orthello Way, Mambourin",5,3,2,"2,238.96",Townhouse
"$583,600","1288 Orthello Way, Mambourin",3,2,2,"1,904.51",Townhouse
"$583,600","1287 Orthello Way, Mambourin",3,2,2,N/A,Townhouse
"$583,600","1286 Orthello Way, Mambourin",3,2,2,"1,904.51",Townhouse
"$583,600","1285 Orthello Way, Mambourin",3,2,2,"1,904.51",Townhouse
"$572,900","1282 Orthello Way, Mambourin",3,2,2,"1,867.35",Townhouse
"$572,900","1281 Orthello Way, Mambourin",3,2,2,"1,867.35",Townhouse
"$572,900","1279 Orthello Way, Mambourin",3,2,2,"1,867.35",Townhouse
"$572,900","1278 Orthello Way, Mambourin",3,2,2,"1,867.35",Townhouse
"$688,100","1283 Orthello Way, Mambourin",5,3,2,"2,127.48",Townhouse
N/A,"1915 satori street, Mambourin",4,2,2,480,House
N/A,"2107 Cotsworld Street,, Mambourin",4,2,2,392,House
N/A,"5 Masters Crescent, Mambourin",4,2,2,N/A,House
N/A,"Address available on request, Mambourin",N/A,N/A,N/A,N/A,Residential Land
N/A,"3 Masters Crescent, Mambourin",4,2,2,512,House
"$635,000","1106 Heidelberg Street, Mambourin",N/A,N/A,N/A,N/A,Residential Land
"$718,000","1620 Contact Agent, Mambourin",4,3,2,N/A,House
"$728,000","1732 Contact Agent, Mambourin",4,3,N/A,N/A,House
"$780,000","1905 Contact Agent, Mambourin",4,3,1,N/A,House
N/A,"539 Contact Agent, Mambourin",4,2,4,N/A,House
N/A,"Address available on request, Mambourin",4,2,4,N/A,House
"$580,000","Address available on request, Wyndham Vale",4,2,2,185.81,House
"$630,000 - Fixed price contract","Lot 235 Taupe Street (Somerdale Heights Estate), Wyndham Vale",4,2,2,N/A,House
"$593,500*-TITLED & PREMIUM TURNKEY Caulfield 20","Address available on request, Manor Lakes",4,2,2,350,House
N/A,"56 Nicklaus Drive, Hoppers Crossing",4,2,2,544,House
"$495,910","639 Tecoma St, Wyndham Vale",3,2,1,238,House
"$395,000 - $425,000","9/12 Mingos Court, Werribee",N/A,N/A,N/A,N/A,Unit
"$600,000","16 Dennison Avenue, Hoppers Crossing",3,1,N/A,N/A,House
"$670,000 - $710,000","11 Maclarens Close, Manor Lakes",4,2,2,503,House
"$450,000-$480,000","33/258 Shaws Road, Werribee",3,1,2,221,House
"$1,050,000 - $1,150,000","14 Irvine Rise, Werribee",4,2,2,448,House
"$850,000 - $920,000","12 Irvine Rise, Werribee",4,2,2,512,House
N/A,"24 Fourth Avenue, Hoppers Crossing",3,1,1,532,House
"$637,500","Address available on request, Werribee",3,2,1,238,House
N/A,"9 Overland Chase, Werribee",4,2,2,622,House
"$650,000-$680,000","8 Oldtrack Place, Hoppers Crossing",3,2,2,534,House
"$465,000 - $500,000","1/39 Warrenwood Avenue, Hoppers Crossing",N/A,N/A,N/A,N/A,Unit
N/A,"38 Welcome Parade, Wyndham Vale",3,2,2,N/A,House
N/A,"7 Vicksburg Avenue, Wyndham Vale",4,2,2,350,House
"$495,000 - $544,000","17 Provence Grove, Hoppers Crossing",3,2,1,303,House
"$530,000 - $570,000","3 Cortland Street, Wyndham Vale",4,2,2,N/A,House
N/A,"55 Wiltonvale Avenue, Hoppers Crossing",5,2,2,605,House
"$660,000 - $720,000","9 London Court, Hoppers Crossing",4,2,2,620,House
"$550,000 - $580,000","2 Mount Eagle Way, Wyndham Vale",4,2,1,700,House
"$610,000 - $640,000","48 Grant Avenue, Werribee",4,2,2,607,House
"$480,000 - $520,000","30 Harkaway Avenue, Hoppers Crossing",3,1,1,317,House
"$745,500","Address available on request, Manor Lakes",3,2,2,448,House
"$657,700","Address available on request, Manor Lakes",3,2,2,350,House
"$329,000 - $359,000","8/22-26 Glen Street, Werribee",2,1,1,N/A,House
"$600,000 - $660,000","3/38 Evrah Drive, Hoppers Crossing",3,2,2,280,Townhouse
N/A,"26  Dutchelm Avenue, Werribee",4,2,2,294,House
"$850,000 - $910,000","1 Silage Way, Wyndham Vale",5,2,2,533,House
"$281,000","Lot, 4021 Batchelor, Werribee",N/A,N/A,N/A,N/A,Residential Land
"$600,000-$660,000","2 Spector Walk, Werribee",4,2,2,N/A,House
N/A,"10 Ardisia Way, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$540,000 - $560,000","4 Hamlet Street, Werribee",3,2,2,N/A,Townhouse
"$253,000","Lot 18082, EYNESBURY STAGE 18, Eynesbury",N/A,N/A,N/A,N/A,Residential Land
"$790,000 - $820,000","22 Tangerine Road, Manor Lakes",N/A,N/A,N/A,N/A,Other
"$940,000 - $980,000","9 Phipps Road, Werribee",4,2,3,640,House
"$590,000 - $620,000","6 Lonsdale Circuit, Hoppers Crossing",3,2,4,375,House
N/A,"6 Lakefield Way, Wyndham Vale",4,2,2,448,House
"$492,551 TITLED LAND PACKAGE","Lot 355 Lydney Street, Wyndham Vale",4,2,1,238,House
N/A,"10 Talina Close, Hoppers Crossing",3,1,2,455,House
"$520,000 - $550,000","4 Finsbury Crescent, Manor Lakes",3,2,2,350,House
"$780,000 - $820,000","1 Conifer Close, Hoppers Crossing",4,2,4,791,House
"$820,000 - $860,000","25 Honeycomb Avenue, Manor Lakes",4,2,2,517,House
N/A,"75-133 Little River Road, Little River",N/A,N/A,N/A,N/A,Residential Land
"$1,150,000-$1,265,000","88 Anniversary Avenue, Wyndham Vale",5,5,2,476,House
N/A,"19 Kalindi Street, Werribee",4,2,2,448,House
"$599,000-$649,000","12 Cubbyhouse Road, Wyndham Vale",4,2,2,480,House
"$240,000 to $270,000","5 davidson street, Wyndham Vale",N/A,N/A,N/A,N/A,Residential Land
"$645,000 - $675,000","31 William Wright Wynd, Hoppers Crossing",4,2,2,610,House
"$558,800","Lot 8321 Gateau Drive (Harpley), Werribee",3,2,2,263,House
N/A,"2046 Flint Street, Werribee",4,2,2,23,House
"$545,200","Lot 1919 Kalamundra Drive (Cornerstone), Werribee",3,2,2,263,House
"$529,999","9 Croxley Close, Wyndham Vale",3,1,2,N/A,House
"$550,000 - $600,000","14 Orchid Court, Hoppers Crossing",3,2,2,652,House
"$200,000","55/2A Railway Avenue, Werribee",N/A,N/A,N/A,N/A,Retirement Living
"$1,450,000 - $1,550,000","283 Princes Highway, Werribee",4,2,2,"1,216",House
"$599,866","Address available on request, Wyndham Vale",4,2,2,294,House
"$1,600,000","12 Killara Court, Werribee",4,2,4,"1,163",House
"$599,000","9 Boulderwood Way, Wyndham Vale",4,2,1,N/A,House
"$499,500 - $548,000","30 Sier Avenue, Hoppers Crossing",3,1,2,361,House
"$595,000 - $635,000","12 Canadian Avenue, Werribee",4,2,2,350,House
"$649,000 - $699,000","2 Birch Court, Wyndham Vale",N/A,N/A,N/A,N/A,Other
"$853,100","Lot 7007 Plaistow Road (Jubilee), Wyndham Vale",5,2,2,392,House
"$560000 to $580,000","20 Vista Way, Wyndham Vale",3,2,2,600,House
"$522,242","Lot 254 Climbing Drive, Wyndham Vale",3,2,2,231,House
"$472,189","Lot 255 Climbing Drive, Wyndham Vale",3,2,1,187,House
"$594,405","Lot 1915 Gloss Street, Wyndham Vale",3,2,2,294,House
"$609,905","Lot 1835 Shillings Road, Wyndham Vale",4,2,2,294,House
"$776,385","Lot 15732 Judd Street, Manor Lakes",4,2,2,448,House
"$871,254","Lot 15727 Judd Street, Manor Lakes",4,2,2,448,House
"$838,859","Lot 15717 Wendouree Crescent, Manor Lakes",4,2,2,512,House
"$299,000","5509 Cosmopolitan Drive, Wyndham Vale",N/A,N/A,N/A,N/A,Residential Land
"$520,000 - $550,000","8 Gunyong Crescent, Manor Lakes",3,2,1,400,House
"$460,000 - $480,000","36 Anniversary Avenue, Wyndham Vale",3,2,1,215,House
"$472,189","Lot 256 Climbing Drive, Wyndham Vale",3,2,1,110.24,House
"$799,000 - $849000","13 Shale Road, Werribee",4,3,2,N/A,House
N/A,"14 Bronwyn Way, Wyndham Vale",N/A,N/A,N/A,N/A,Residential Land
"$650,000 - $700,000","7 Ungara Drive, Werribee",4,2,2,400,House
"$330,000 - $360,000","15 Ballister Street, Wyndham Vale",N/A,N/A,N/A,N/A,Residential Land
"$520,000 - $550,000","10 Bligh Place, Wyndham Vale",3,1,2,N/A,House
N/A,"68 Thames Boulevard, Werribee",3,1,3,N/A,House
"$605,100 – 100% fixed price guaranteed!","Lot 6911 Ruislip Grove  (Harpley), Werribee",3,2,2,273,House
"$724,267 – 100% fixed price guaranteed!","Lot 6915 Ipswich Avenue (Harpley), Werribee",4,2,2,395,House
"$673,534 – 100% fixed price guaranteed!","Lot 2051 Benson Drive  (Cornerstone), Werribee",4,2,2,351,House
N/A,"32 Strathmore Crescent, Hoppers Crossing",3,1,1,562,House
"$665,423 – 100% fixed price guaranteed!","Lot 140A Graded Street (Winterset Lodge), Manor Lakes",4,2,2,350,House
N/A,"5 Pimlico Place, Werribee",4,2,2,400,House
"$698,300","Lot 7002 Plaistow Road (Jubilee), Wyndham Vale",4,2,2,353,House
N/A,"Address available on request, Mount Cottrell",N/A,N/A,N/A,N/A,Residential Land
"$628,374","Lot 19722 Corinth Street, Manor Lakes",3,2,2,350,House
"$659,234","Lot 19116 Xenia Street, Manor Lakes",5,2,2,350,House
"$674,988","Lot 1961 Kalamundra Drive, (Connerstone Estate), Werribee",4,2,2,275,House
"$676,577","Lot 2229 Tuff Street, Werribee",5,2,2,371,House
"$650,413","Lot 2241 Horses Street, Werribee",4,2,2,350,House
"$653,000","LOT  7913 LODGE WAY, Werribee",4,2,3,263,House
"$662,900","LOT 7911 LODGE WAY, Werribee",4,3,2,263,House
"$534,340","LOT 1919 KALAMUNDRA DRIVE, Werribee",3,2,2,262,House
"$491,900","LOT 1953 KALAMUNDRA DRIVE, Werribee",3,2,2,271,House
"$640,000 - $679,000","2 Kiama Road, Werribee",4,1,2,637,House
N/A,"Lot 226, 20 Kutjera Street, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
N/A,"5 nightingale drive, Werribee",3,1,2,570,House
"$545,000-$585,000","34 Argyle Crescent, Werribee",3,1,6,591,House
N/A,"4/71 Sycamore Street, Hoppers Crossing",2,2,1,N/A,Townhouse
"$685,000 - $735,000","26 Medina Drive, Hoppers Crossing",5,2,2,N/A,House
N/A,"44 Aitken Avenue, Hoppers Crossing",3,2,2,549,House
"$540,000 - $570,000","204 Pannam Drive, Hoppers Crossing",3,2,2,N/A,House
"$640,000 - $680,000","5 Gosfield Drive, Werribee",4,2,2,392,House
