price,address,bedrooms,bathrooms,parking space,land size,property type1property type2
"$593,500*-TITLED & PREMIUM TURNKEY Caulfield 20","Address available on request, Manor Lakes",4,2,2,350,House
"$670,000 - $710,000","11 Maclarens Close, Manor Lakes",4,2,2,503,House
"$745,500","Address available on request, Manor Lakes",3,2,2,448,House
"$657,700","Address available on request, Manor Lakes",3,2,2,350,House
N/A,"10 Ardisia Way, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$790,000 - $820,000","22 Tangerine Road, Manor Lakes",N/A,N/A,N/A,N/A,Other
"$520,000 - $550,000","4 Finsbury Crescent, Manor Lakes",3,2,2,350,House
"$820,000 - $860,000","25 Honeycomb Avenue, Manor Lakes",4,2,2,517,House
"$776,385","Lot 15732 Judd Street, Manor Lakes",4,2,2,448,House
"$871,254","Lot 15727 Judd Street, Manor Lakes",4,2,2,448,House
"$838,859","Lot 15717 Wendouree Crescent, Manor Lakes",4,2,2,512,House
"$520,000 - $550,000","8 Gunyong Crescent, Manor Lakes",3,2,1,400,House
"$665,423 – 100% fixed price guaranteed!","Lot 140A Graded Street (Winterset Lodge), Manor Lakes",4,2,2,350,House
"$628,374","Lot 19722 Corinth Street, Manor Lakes",3,2,2,350,House
"$659,234","Lot 19116 Xenia Street, Manor Lakes",5,2,2,350,House
N/A,"Lot 226, 20 Kutjera Street, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$670,000 - $690,000","129 Kinglake Drive, Manor Lakes",4,2,2,512,House
N/A,"12 Eucumbene Road, Manor Lakes",4,2,2,575,House
"$863,091","Lot 15706 Judd Street, Manor Lakes",4,2,2,448,House
"$759,302","Lot 15704 Judd Street, Manor Lakes",4,2,2,448,House
"$540,000 - $570,000","56 Hawkstone Road, Manor Lakes",3,2,2,350,House
"$499,900","Address available on request, Manor Lakes",3,3,1,212,House
"$675,242","Address available on request, Manor Lakes",4,2,2,350,House
"$564,990","19109 Elbridge Road, Manor Lakes",3,2,2,262,House
"$490,000 - $530,000","3 Lambertia Crescent, Manor Lakes",3,2,1,249,House
"$660,000-$680,000","12 BISCOTTI CRESCENT, Manor Lakes",4,2,2,408,House
"$625,000 - $660,000","37 Bertie Street, Manor Lakes",5,2,2,448,House
"$840,000 - $870,000","32 Rondo Drive, Manor Lakes",4,3,2,588,House
"$870,000 - $930,000","2 Burrumbeet Court, Manor Lakes",4,2,8,900,House
"$570,000-$620,000","2/10 Stringybark Close, Manor Lakes",4,2,2,N/A,House
N/A,"5 Woburn Crescent, Manor Lakes",3,2,2,400,House
N/A,"55 Balcombe Drive, Manor Lakes",4,2,2,448,House
"$690,000 - $730,000","115 Manor Lakes Boulevard, Manor Lakes",4,2,2,511,House
"$695,000 - $730,000","197 Manor Lakes Boulevard, Manor Lakes",5,2,2,541,House
"$590,000 - $630,000","19 Melliodora Court, Manor Lakes",4,2,2,395,House
"$520,000 - $560,000","12 Silver Gum Street, Manor Lakes",3,1,1,417,House
"$315,000 Single Price","6 Kutjera Street, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
N/A,"37 Spearmint Boulevard, Manor Lakes",4,2,2,448,House
"$630,000 - $660,000","13 Gelati Street, Manor Lakes",4,2,2,N/A,House
"$660,000 - $710,000","10 Landmark Crescent, Manor Lakes",4,2,4,512,House
"$650,000 - $710,000","11 Canons Crescent, Manor Lakes",4,2,2,448,House
"$555,000 - $585,000","1 Medlar Avenue, Manor Lakes",3,2,2,N/A,House
"$550,000 - $600,000","29 Finsbury Crescent, Manor Lakes",3,2,1,320,House
"$690,000 - $740,000","760 Armstrong Road, Manor Lakes",4,2,4,555,House
"$660,000 - $700,000","11 Blackberry Street, Manor Lakes",4,2,2,448,House
N/A,"26 Butterscotch Esplanade, Manor Lakes",4,2,2,386,House
"$699,000 - $720,000","77 Spearmint Boulevard, Manor Lakes",5,2,2,512,House
"$670,000 - $695,000","13 Swiss Way, Manor Lakes",4,2,2,512,House
"$685,000 - $725,000","38 Muscatel Crescent, Manor Lakes",4,2,2,421,House
"$535,000 - $570,000","9 Peppermint Crescent, Manor Lakes",3,2,2,330,House
"$640,000 - $680,000","34 Pedder Street, Manor Lakes",4,2,2,425,House
"$620,000 - $650,000","2 Amadeus Street, Manor Lakes",4,2,3,448,House
"$730,000 - $770,000","113 Eureka Drive, Manor Lakes",5,2,2,512,House
"$335,000 - $365,000","23 Cyad Way, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$430,000","Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$326,000","Lot 1430, Brightvale Boulevard, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
N/A,"36 Eppalock Drive, Manor Lakes",3,2,2,596,House
N/A,"5 Malt Drive, Manor Lakes",5,2,2,510,House
"$625,510","Lot 19606 Brushton Street, Manor Lakes",3,2,2,221,House
"$886,089","Lot 20205 Bloomingburg Road, Manor Lakes",4,2,2,448,House
"$775,948","Lot 19722 Corinth Street, Manor Lakes",4,2,2,350,House
"$784,774","Lot 20204 Brushton Street, Manor Lakes",4,2,2,364,House
"$648,423","Lot 20204 Brushton Street, Manor Lakes",4,2,2,364,House
"$635,601","Lot 19722 Corinth Street, Manor Lakes",4,2,2,350,House
"$576,000 - $596,000","Lot 19110  Elbridge Circuit, Manor Lakes",4,2,2,262,House
"$583,000 - $603,000","Lot 19108  Elbridge Circruit, Manor Lakes",4,2,2,311,House
"$480,000-$525,000","65 Eltham Parade, Manor Lakes",3,2,1,320,House
N/A,"Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
N/A,"21 Semolina Street, Manor Lakes",4,2,2,572,House
N/A,"Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$679,000 - $699,000","29 Goodenia Avenue, Manor Lakes",4,2,2,507,House
"$436,000","Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$671,000 - $691,000","19722  Corinth Place, Manor Lakes",4,2,2,350,House
"$531,000 - $551,000","19606  Brushton Drive, Manor Lakes",3,2,1,221,House
"$635,678","Lot 19924 Manor Lakes Estate, Manor Lakes",4,2,2,350,House
N/A,"19110 Elbridge Road, Manor Lakes",3,2,2,16,House
"$320,000 - $350,000","20 Kutjera Street, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
N/A,"113 Manor Lakes Boulevard, Manor Lakes",3,2,2,576,House
"$300,000-$315,000","Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
N/A,"Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$380,000 - $400,000 - PRICED TO SELL!","Address Available on Request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$620,000 - $650,000","9 Edwin Close, Manor Lakes",4,2,2,393,House
N/A,"22 Ardisia Way, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$590,000 - $640,000","6 Murrumbidgee Street, Manor Lakes",3,2,2,529,House
"$660,000 - $720,000","41 Finsbury Crescent, Manor Lakes",3,2,2,512,House
"$820,000 - $860,000","31 Cradle Circuit, Manor Lakes",4,2,3,480,House
"$385,000 - URGENT SALE","24 Maracaibo Crescent, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
N/A,"66 Kinglake Drive, Manor Lakes",4,2,2,512,House
"$649,000 - $699,000","22 Hawkstone Road, Manor Lakes",4,2,4,400,House
"$620,000 - $650,000","25 Hawkstone Road, Manor Lakes",4,2,2,400,House
"$635,000 - $670,000","9 Arrowhead Street, Manor Lakes",4,2,2,435,House
"$850,000 - $930,000","20 Lenigas Crescent, Manor Lakes",4,2,2,575,House
"$470,000 - $510,000","15 Holloway Street, Manor Lakes",3,2,1,319,House
"$510,090 TITLED LAND PACKAGE","Lot 19606 Brushton Street, Manor Lakes",3,2,1,221,House
"$449,000 - $479,000","Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$695,000-$740,000","6 Ness Mews, Manor Lakes",5,2,2,504,House
"$695,000 - $750,000","16 Nectar Avenue, Manor Lakes",5,2,2,448,House
"$658,968","LOT 138 Winterset Lodge Estate, Manor Lakes",4,2,2,392,House
"$630,000 - $670,000","43 Minindee Road, Manor Lakes",4,2,2,512,House
N/A,"Address available on request, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$735,000","Address available on request, Manor Lakes",4,2,2,448,House
N/A,"439 Maracana Avenue, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$590,000 - $640,000","1 Ampelon Street, Manor Lakes",3,2,2,N/A,House
"$645,000 - $675,000","1 Lambertia Crescent, Manor Lakes",4,2,4,408,House
"$660,000","Address available on request, Manor Lakes",4,2,2,392,House
"$750,000 - $800,000","4 Murdeduke Crescent, Manor Lakes",4,2,2,592,House
"$555,750 - FULL TURNKEY AVAILABLE","LOT 136 Collector Road, Manor Lakes",4,2,2,350,House
"$520,000 - $570,000","20 Cassata Road, Manor Lakes",3,2,2,291,House
N/A,"11 Connewarre Close, Manor Lakes",5,2,5,900,House
N/A,"5 SPARLAND STREET, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$520,000 - $560,000","6 Maclarens Close, Manor Lakes",4,2,2,N/A,House
"$620,000 - $660,000","5 Fudge Street, Manor Lakes",4,2,2,392,House
"$745,000 - $785,000","29 Maclarens Close, Manor Lakes",4,2,2,575,House
N/A,"30 Bainbridge Road, Manor Lakes",3,2,2,287,House
"$429,000.00","Lot 19816, 6 Pittsford Road, Manor Lakes",N/A,N/A,N/A,N/A,Residential Land
"$620,000 - $680,000","12 Stringybark Close, Manor Lakes",4,2,2,550,House
"$667,625","LOT 134 Winterset Lodge Estate, Manor Lakes",4,2,2,392,House
"780,000 - $849,000","17 Buloke Avenue, Manor Lakes",4,2,2,836,House
"$600,000 to $640,000","33 Heathcote Road, Manor Lakes",3,2,2,N/A,House
"$600,000 - $630,000","12 Butterscotch Esplanade, Manor Lakes",4,2,2,N/A,House
"Calling all Investors!!!  $655,000 - $665,000","22 Gelati Street, Manor Lakes",4,2,2,392,House
"$800,000 - $880,000","23 Eildon Avenue, Manor Lakes",4,2,2,800,House
"$850,000 - $899,000 !!!","10 Bondon Crescent, Manor Lakes",5,2,2,511,House
"$570,000-$620,000","1/10 Stringybark Close, Manor Lakes",4,3,2,N/A,House
