sold_on,price,address,bedrooms,bathrooms,parking space,land size,property type1property type2,agency,agent
23 Jan 2024,"$545,000","28 Miniata Way, Manor Lakes",3,2,2,N/A,House,Equity Wise Real Estate - WYNDHAM VALE,Sweta Malik
23 Jan 2024,"$470,000","8 Burdekin Street, Manor Lakes",3,1,2,333,House,Ray White - Werribee,Robert Krnjeta
22 Jan 2024,"$615,000","6 Yarrambat Street, Manor Lakes",4,2,2,448,House,Hockingstuart Williamstown - WILLIAMSTOWN,David Lawso
08 Jan 2024,"$640,000","46 Bregman Esplanade, Manor Lakes",4,2,2,465,House,Leap Real Estate - MELBOURNE,Glenn Warnick
05 Jan 2024,"$601,000","1 Barmah Street, Manor Lakes",3,2,2,507,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
20 Dec 2023,"$552,000","106 Eltham Parade, Manor Lakes",3,2,1,320,House,McGrath Estate Agents - WERRIBEE,Taney Jai
18 Dec 2023,"$755,000","99 Holyoake Parade, Manor Lakes",4,2,5,572,House,Ray White - Werribee,lex Krnjeta
18 Dec 2023,"$660,000","7 Adon Walk, Manor Lakes",4,2,4,436,House,Ray White - Werribee,lex Krnjeta
17 Dec 2023,"$900,000","895 Ballan Road, Manor Lakes",4,2,2,N/A,House,Engage Real Estate - WILLIAMS LANDING,jay Nai
15 Dec 2023,"$601,000","20 Hawkstone Road, Manor Lakes",3,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
12 Dec 2023,"$580,000","36 Firecrest Road, Manor Lakes",4,2,2,336,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
12 Dec 2023,"$455,000","3/2 Bertie Street, Manor Lakes",4,2,2,208,House,McGrath Estate Agents - WERRIBEE,Taney Jai
11 Dec 2023,"$748,000","19 Praline Street, Manor Lakes",5,2,2,447,House,Ray White - Werribee,lex Krnjeta
11 Dec 2023,"$510,000","4 Firecrest Road, Manor Lakes",3,2,1,320,House,Area Specialist  - Wyndham City,Harry Singh
07 Dec 2023,"$715,000","62 Pedder Street, Manor Lakes",4,2,2,635,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
06 Dec 2023,"$740,000","101 Holyoake Parade, Manor Lakes",4,2,2,448,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
06 Dec 2023,"$700,000","8 Grovedale Way, Manor Lakes",4,2,2,640,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
05 Dec 2023,"$665,000","14 Nectar Avenue, Manor Lakes",4,2,2,400.02,House,The Eleet - Wyndham City,Sachin Khera
01 Dec 2023,"$765,000","36 Pedder Street, Manor Lakes",5,2,4,608,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
01 Dec 2023,"$550,000","38 Weavers Street, Manor Lakes",3,2,2,400,House,Mantello Real Estate - Werribee,Jason Mantello
28 Nov 2023,"$505,000","40 Lancewood Road, Manor Lakes",3,2,1,320,House,Eview Real Estate - SOUTH MELBOURNE,Mahesh Krishna
24 Nov 2023,"$696,000","54 Pedder Street, Manor Lakes",4,2,2,612,House,Eview Real Estate - SOUTH MELBOURNE,Dave Samarges
24 Nov 2023,"$610,000","22 Cassata Road, Manor Lakes",4,2,2,294,House,Reliance Manor Lakes - WYNDHAM VALE,Milan Neota
24 Nov 2023,"$570,000","9 Mondra Terrace, Manor Lakes",4,2,1,336,House,Aspire Real Estate Agents - Werribee,Mridu Sharma
24 Nov 2023,"$520,000","17 Papaya Walk, Manor Lakes",4,2,2,295,House,Hodges - Werribee,Tony Vercher
